cocktail,canonical,build_method,build_confidence,glass_type,glass_confidence,ice_format,ice_confidence,aeration,aer_confidence
"Corpse Reviver #2","corpse reviver 2",shake,high,coupe,high,up,high,medium,high
"Garibaldi","garibaldi",build,high,highball,high,rocks,high,low,medium
"Rabo de Galo","rabo de galo",stir,high,rocks,high,rocks,medium,low,high
"Canchanchara","canchanchara",build,high,rocks,high,rocks,medium,low,medium
"Chartreuse Swizzle","chartreuse swizzle",swizzle,high,highball,high,crushed,high,low,medium
"Dark 'n' Stormy","dark n stormy",build,high,highball,high,rocks,high,low,medium
"Fernandito","fernandito",build,high,rocks,high,rocks,high,low,medium
"Gin Basil Smash","gin basil smash",shake,high,coupe,high,up,high,medium,high
"Illegal","illegal",shake,high,coupe,high,up,high,high,high
"Jungle Bird","jungle bird",shake,high,rocks,high,rocks,high,medium,high
"Naked and Famous","naked and famous",shake,high,coupe,high,up,high,medium,high
"Paper Plane","paper plane",shake,high,coupe,high,up,high,medium,high
"Pisco Punch","pisco punch",build,high,coupe,high,up,medium,low,medium
"Sherry Cobbler","sherry cobbler",shake,high,highball,high,crushed,high,medium,high
"South Side","south side",shake,high,coupe,high,up,high,high,high
"Spicy Fifty","spicy fifty",shake,high,coupe,high,up,high,medium,high
"Suffering Bastard","suffering bastard",shake,high,highball,high,tall,medium,medium,high
"Tommy's Margarita","tommys margarita",shake,high,rocks,high,rocks,high,medium,high
"Trinidad Sour","trinidad sour",shake,high,coupe,high,up,high,medium,high
"Ve.n.to","vento",shake,high,rocks,high,rocks,high,high,high
"Rob Roy","rob roy",stir,high,coupe,high,up,high,low,high
"Gibson","gibson",stir,high,coupe,high,up,high,low,high
