name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources
mango,,,,,manual-top-500
black peppercorn,,,,,manual-top-500
banana,,,,,manual-top-500
pepper sauce,,,,,manual-top-500
brown rice,,,,,manual-top-500
sherry,,,,,manual-top-500
cheddar,,,,,manual-top-500
chili,,,,,manual-top-500
red chili pepper,,,,,manual-top-500
eggplant,,,,,manual-top-500
soda water,,,,,manual-top-500
hoisin,,,,,manual-top-500
teriyaki sauce,,,,,manual-top-500
marinara sauce,,,,,manual-top-500
firm tofu,,,,,manual-top-500
italian salad dressing,,,,,manual-top-500
parsley flake,,,,,manual-top-500
sherry vinegar,,,,,manual-top-500
yeast,,,,,manual-top-500
provolone cheese,,,,,manual-top-500
cauliflower,,,,,manual-top-500
liquid smoke,,,,,manual-top-500
red chili,,,,,manual-top-500
flat-leaf parsley,,,,,manual-top-500
ghee,,,,,manual-top-500
topping,,,,,manual-top-500
velveeta cheese,,,,,manual-top-500
italian dressing,,,,,manual-top-500
philadelphia cream cheese,,,,,manual-top-500
leek,,,,,manual-top-500
yellow cake,,,,,manual-top-500
mustard powder,,,,,manual-top-500
red chili powder,,,,,manual-top-500
mirin,,,,,manual-top-500
pizza sauce,,,,,manual-top-500
cake,,,,,manual-top-500
mustard seed,,,,,manual-top-500
yellow pepper,,,,,manual-top-500
american cheese,,,,,manual-top-500
green chili,,,,,manual-top-500
chocolate syrup,,,,,manual-top-500
mayonnaise,,,,,manual-top-500
salmon,,,,,manual-top-500
chili flake,,,,,manual-top-500
goat cheese,,,,,manual-top-500
pine nut,,,,,manual-top-500
miso,,,,,manual-top-500
peache,,,,,manual-top-500
broccoli floret,,,,,manual-top-500
nonfat yogurt,,,,,manual-top-500
light sour cream,,,,,manual-top-500
vegetable oil,,,,,manual-top-500
lamb,,,,,manual-top-500
mascarpone cheese,,,,,manual-top-500
tarragon,,,,,manual-top-500
picante sauce,,,,,manual-top-500
taco sauce,,,,,manual-top-500
cherry pie filling,,,,,manual-top-500
lemon pepper,,,,,manual-top-500
cake mix,,,,,manual-top-500
condensed milk,,,,,manual-top-500
freshly squeezed lemon juice,,,,,manual-top-500
yellow cornmeal,,,,,manual-top-500
lasagna noodle,,,,,manual-top-500
red chilie,,,,,manual-top-500
sweet chili sauce,,,,,manual-top-500
tomato juice,,,,,manual-top-500
wild rice,,,,,manual-top-500
peppercorn,,,,,manual-top-500
kernel corn,,,,,manual-top-500
salad,,,,,manual-top-500
pesto sauce,,,,,manual-top-500
pasta sauce,,,,,manual-top-500
brown mustard,,,,,manual-top-500
graham cracker crust,,,,,manual-top-500
milk chocolate,,,,,manual-top-500
penne pasta,,,,,manual-top-500
unflavored gelatin,,,,,manual-top-500
active dry yeast,,,,,manual-top-500
sunflower oil,,,,,manual-top-500
tomato ketchup,,,,,manual-top-500
low-fat sour cream,,,,,manual-top-500
tahini,,,,,manual-top-500
sunflower seed,,,,,manual-top-500
brandy,,,,,manual-top-500
soymilk,,,,,manual-top-500
celery salt,,,,,manual-top-500
mussel,,,,,manual-top-500
steak sauce,,,,,manual-top-500
apple cider,,,,,manual-top-500
corn kernel,,,,,manual-top-500
syrup,,,,,manual-top-500
white fish,,,,,manual-top-500
chilie,,,,,manual-top-500
beer,,,,,manual-top-500
cornflour,,,,,manual-top-500
tomato soup,,,,,manual-top-500
almond extract,,,,,manual-top-500
graham cracker,,,,,manual-top-500
lemon wedge,,,,,manual-top-500
marinade,,,,,manual-top-500
yellow cake mix,,,,,manual-top-500
black bean,,,,,manual-top-500
palm sugar,,,,,manual-top-500
coriander powder,,,,,manual-top-500
fennel,,,,,manual-top-500
fennel seed,,,,,manual-top-500
green chili pepper,,,,,manual-top-500
simple syrup,,,,,manual-top-500
splenda sugar substitute,,,,,manual-top-500
caraway seed,,,,,manual-top-500
rice noodle,,,,,manual-top-500
romaine lettuce,,,,,manual-top-500
cumin powder,,,,,manual-top-500
egg substitute,,,,,manual-top-500
shortening,,,,,manual-top-500
chili paste,,,,,manual-top-500
fruit,,,,,manual-top-500
unsweetened coconut milk,,,,,manual-top-500
lemongrass,,,,,manual-top-500
pork tenderloin,,,,,manual-top-500
coconut cream,,,,,manual-top-500
crabmeat,,,,,manual-top-500
bourbon,,,,,manual-top-500
gruyere,,,,,manual-top-500
weight cream cheese,,,,,manual-top-500
white bread,,,,,manual-top-500
cream-style,,,,,manual-top-500
chorizo sausage,,,,,manual-top-500
dipping sauce,,,,,manual-top-500
marjoram,,,,,manual-top-500
butternut squash,,,,,manual-top-500
cake flour,,,,,manual-top-500
poppy seed,,,,,manual-top-500
semi-sweet chocolate,,,,,manual-top-500
red potatoe,,,,,manual-top-500
white cake,,,,,manual-top-500
fenugreek,,,,,manual-top-500
saffron,,,,,manual-top-500
dark sesame oil,,,,,manual-top-500
ginger ale,,,,,manual-top-500
onion soup,,,,,manual-top-500
bean sprout,,,,,manual-top-500
chili bean,,,,,manual-top-500
enchilada sauce,,,,,manual-top-500
green cabbage,,,,,manual-top-500
pork shoulder,,,,,manual-top-500
yellow squash,,,,,manual-top-500
jumbo shrimp,,,,,manual-top-500
white chocolate chip,,,,,manual-top-500
wine vinegar,,,,,manual-top-500
chili oil,,,,,manual-top-500
chocolate cake,,,,,manual-top-500
ginger paste,,,,,manual-top-500
milk chocolate chip,,,,,manual-top-500
tequila,,,,,manual-top-500
alfredo sauce,,,,,manual-top-500
chocolate pudding,,,,,manual-top-500
macaroni,,,,,manual-top-500
mushroom soup,,,,,manual-top-500
salad dressing,,,,,manual-top-500
sweet italian sausage,,,,,manual-top-500
gelatin,,,,,manual-top-500
red curry,,,,,manual-top-500
serrano pepper,,,,,manual-top-500
applesauce,,,,,manual-top-500
low-fat buttermilk,,,,,manual-top-500
tamarind paste,,,,,manual-top-500
pear,,,,,manual-top-500
raisin,,,,,manual-top-500
vanilla pudding,,,,,manual-top-500
light coconut milk,,,,,manual-top-500
crunchy peanut butter,,,,,manual-top-500
mayo,,,,,manual-top-500
quinoa,,,,,manual-top-500
cream of celery soup,,,,,manual-top-500
soya sauce,,,,,manual-top-500
adobo sauce,,,,,manual-top-500
beef stew meat,,,,,manual-top-500
dill pickle,,,,,manual-top-500
granny smith apple,,,,,manual-top-500
sugar snap pea,,,,,manual-top-500
fish,,,,,manual-top-500
turbinado sugar,,,,,manual-top-500
bbq sauce,,,,,manual-top-500
cranberry sauce,,,,,manual-top-500
seasoning salt,,,,,manual-top-500
fontina cheese,,,,,manual-top-500
grain mustard,,,,,manual-top-500
orange rind,,,,,manual-top-500
pumpkin,,,,,manual-top-500
water chestnut,,,,,manual-top-500
corn oil,,,,,manual-top-500
cracker crumb,,,,,manual-top-500
pastry,,,,,manual-top-500
strawberry,,,,,manual-top-500
sweet corn,,,,,manual-top-500
almond milk,,,,,manual-top-500
butterscotch chip,,,,,manual-top-500
cane sugar,,,,,manual-top-500
coffee,,,,,manual-top-500
porcini,,,,,manual-top-500
wheat pastry flour,,,,,manual-top-500
chile powder,,,,,manual-top-500
corn flake,,,,,manual-top-500
cream-style corn,,,,,manual-top-500
flat-leaf,,,,,manual-top-500
nonfat sour cream,,,,,manual-top-500
parsley,,,,,manual-top-500
pistachio,,,,,manual-top-500
semisweet chocolate chip,,,,,manual-top-500
asiago cheese,,,,,manual-top-500
chile,,,,,manual-top-500
chunky peanut butter,,,,,manual-top-500
gouda cheese,,,,,manual-top-500
herb,,,,,manual-top-500
onion salt,,,,,manual-top-500
white balsamic vinegar,,,,,manual-top-500
baby corn,,,,,manual-top-500
caramel sauce,,,,,manual-top-500
pearl barley,,,,,manual-top-500
cranberry juice,,,,,manual-top-500
golden raisin,,,,,manual-top-500
italian bread,,,,,manual-top-500
lump crabmeat,,,,,manual-top-500
monterey jack cheese,,,,,manual-top-500
shiitake mushroom,,,,,manual-top-500
red chile,,,,,manual-top-500
turkey bacon,,,,,manual-top-500
bread crumb,,,,,manual-top-500
rotini pasta,,,,,manual-top-500
sherry wine,,,,,manual-top-500
sherry wine vinegar,,,,,manual-top-500
spaghetti,,,,,manual-top-500
grapeseed oil,,,,,manual-top-500
lemon jello,,,,,manual-top-500
nutritional yeast,,,,,manual-top-500
apricot preserve,,,,,manual-top-500
black mustard seed,,,,,manual-top-500
freshly cracked black pepper,,,,,manual-top-500
light mayonnaise,,,,,manual-top-500
wine,,,,,manual-top-500
chili pwdr,,,,,manual-top-500
coarse kosher salt,,,,,manual-top-500
golden brown sugar,,,,,manual-top-500
lime wedge,,,,,manual-top-500
pumpkin puree,,,,,manual-top-500
salt pork,,,,,manual-top-500
smooth peanut butter,,,,,manual-top-500
turkey sausage,,,,,manual-top-500
unsweetened applesauce,,,,,manual-top-500
graham cracker pie crust,,,,,manual-top-500
hamburg,,,,,manual-top-500
pork loin,,,,,manual-top-500
butter bean,,,,,manual-top-500
caramel ice cream topping,,,,,manual-top-500
peach,,,,,manual-top-500
long-grain rice,,,,,manual-top-500
mangoe,,,,,manual-top-500
orange marmalade,,,,,manual-top-500
red cabbage,,,,,manual-top-500
chickpea,,,,,manual-top-500
lean beef,,,,,manual-top-500
sharp cheese,,,,,manual-top-500
ancho chili,,,,,manual-top-500
stock,,,,,manual-top-500
gin,,,,,manual-top-500
unsweetened chocolate,,,,,manual-top-500
apricot,,,,,manual-top-500
cheddar cheese soup,,,,,manual-top-500
dream whip,,,,,manual-top-500
freshly squeezed lime juice,,,,,manual-top-500
red apple,,,,,manual-top-500
vegetable cooking spray,,,,,manual-top-500
almond flour,,,,,manual-top-500
broth,,,,,manual-top-500
coarse black pepper,,,,,manual-top-500
light cream cheese,,,,,manual-top-500
long-grain white rice,,,,,manual-top-500
low-fat plain yogurt,,,,,manual-top-500
pumpkin pie spice,,,,,manual-top-500
sriracha sauce,,,,,manual-top-500
chocolate chip,,,,,manual-top-500
ginger powder,,,,,manual-top-500
ginger-garlic,,,,,manual-top-500
baguette,,,,,manual-top-500
flaxseed,,,,,manual-top-500
nonfat milk,,,,,manual-top-500
shell pasta,,,,,manual-top-500
asian sesame oil,,,,,manual-top-500
bibb lettuce,,,,,manual-top-500
chocolate ice cream,,,,,manual-top-500
coriander seed,,,,,manual-top-500
kale,,,,,manual-top-500
no-salt,,,,,manual-top-500
scotch,,,,,manual-top-500
sesame seed,,,,,manual-top-500
vanilla instant pudding,,,,,manual-top-500
chinese cabbage,,,,,manual-top-500
orzo pasta,,,,,manual-top-500
peanut sauce,,,,,manual-top-500
sweet butter,,,,,manual-top-500
blend cheese,,,,,manual-top-500
coconut flour,,,,,manual-top-500
creole mustard,,,,,manual-top-500
grainy mustard,,,,,manual-top-500
oatmeal,,,,,manual-top-500
lean turkey,,,,,manual-top-500
lobster,,,,,manual-top-500
walnut oil,,,,,manual-top-500
coconut sugar,,,,,manual-top-500
fruit cocktail,,,,,manual-top-500
